,route,UTM lat,UTM lon
458,r1,2271895.539950196,311163.36881390575
459,r1,2271893.730731917,311151.7924496062
460,r1,2271890.588311203,311138.9288464219
461,r1,2271888.719860664,311126.00636365946
462,r1,2271886.678710588,311113.780762446
463,r1,2271889.043670728,311100.21687796235
464,r1,2271889.41599952,311086.6204526144
465,r1,2271890.9492818685,311074.7682709368
466,r1,2271892.281013436,311061.2242137382
467,r1,2271890.36536747,311045.9753312145
468,r1,2271889.456005093,311029.74677615537
469,r1,2271888.17655705,311015.33933822927
470,r1,2271887.365439828,311002.03223427775
471,r1,2271887.3516990724,310991.60219939664
472,r1,2271886.7592924833,310983.42902313947
473,r1,2271885.623601028,310974.4258522503
